Synset ID,Synset Name
02691156,airplane;aeroplane;plane
03759954,microphone;mike
03797390,mug
04460130,tower
02942699,camera;photographic camera
04090263,rifle
03991062,pot;flowerpot
02801938,basket;handbasket
02880940,bowl
02828884,bench
04330267,stove
02958343,car;auto;automobile;machine;motorcar
03207941,dishwasher;dish washer;dishwashing machine
03325088,faucet;spigot
03513137,helmet
03642806,laptop;laptop computer
03928116,piano;pianoforte;forte-piano
03593526,jar
03001627,chair
02843684,birdhouse
04099429,rocket;projectile
03761084,microwave;microwave oven
03337140,file;file cabinet;filing cabinet
02946921,can;tin;tin can
04468005,train;railroad train
02808440,bathtub;bathing tub;bath;tub
04004475,printer;printing machine
03691459,loudspeaker;speaker;speaker unit;loudspeaker system;speaker system
03211117,display;video display
02924116,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger vehi
04379243,table
02747177,ashcan;trash can;garbage can;wastebin;ash bin;ash-bin;ashbin;dustbin;trash barrel;trash bin
03938244,pillow
03624134,knife
02871439,bookshelf
03046257,clock
04225987,skateboard
03790512,motorcycle;bike
03467517,guitar
02954340,cap
04074963,remote control;remote
02818832,bed
03710193,mailbox;letter box
03261776,earphone;earpiece;headphone;phone
04530566,vessel;watercraft
02773838,bag;traveling bag;travelling bag;grip;suitcase
04401088,telephone;phone;telephone set
02933112,cabinet
03948459,pistol;handgun;side arm;shooting iron
03636649,lamp
02876657,bottle
03085013,computer keyboard;keypad
04256520,sofa;couch;lounge
04554684,washer;automatic washer;washing machine
